data:text/csv;charset=utf-8,
142,0094878,
604,0115978,
720,0118114,
721,0114103,
723,0092123,131232
730,0125877,
739,0116559,
769,0116992,
770,0038426,
791,0113610,
821,0112746,
859,0116536,
864,0114936,132641
895,0105729,79782
1107,0102336,
1109,0115870,
1115,0114472,141210
1122,0114147,
1133,0111357,
1141,0113328,
1142,0116403,
1155,0092281,
1166,0113031,
1316,0115548,
1421,0113212,
1434,0123281,
1533,0117398,105045
1630,0123953,
1709,0130073,
1720,0128755,
1738,0120881,
1774,0133090,
1789,0114322,
1830,0119139,
2223,0018876,143750
2230,0133361,
2258,0087690,
2270,0109390,
2510,0134948,26425
2588,0341315,
2595,0188996,
2679,0124555,84198
2851,0081454,
2894,0194314,171982
2999,0154827,98480
3193,0198385,
4051,0056600,
4096,0092809,89992
4207,0100232,12773
4241,0266860,10991
4249,0246002,136558
4257,0249538,109472
4484,0094828,110428
4568,0096913,17882
5069,0270933,68149
5176,0160498,
5209,0081809,24549
5264,0250305,15028
5403,0277322,112991
5565,0309521,
5672,0313487,12600
5738,0223249,
5904,0273851,78022
6003,0290538,4912
6017,0274428,99885
6712,0325761,66111
6776,0282674,19666
6828,0088318,163549
6955,0169624,
7145,0348862,
7404,0092569,89488
7502,0185906,191903
7568,0253016,
7726,0169639,95514
8536,0331525,
8795,0275083,23305
8979,0390299,174787
26452,0083387,82205
26587,0092337,
26649,0096639,13057
26723,0101704,36337
26869,0110426,18837
27049,0135659,15738
27136,0165303,5511
27271,0213682,97206
27382,0253881,
27611,0314979,206216
27708,0340477,19341
30991,0098112,64699
31026,0098090,69234
31193,0076363,13716
32352,0112389,185441
32600,0377059,
32959,0064976,104193
33154,0413845,13020
34330,0368089,9775
38198,0424024,10700
40697,0105946,
42591,0088658,37525
42987,0423651,15594
47237,0492447,77221
47962,0074220,171771
48713,0835046,
52281,0462322,253768
53187,0449303,78057
54972,0421143,53975
55132,0476643,14788
55207,0409799,244797
58437,0095903,31653
61100,0859765,155796
61560,0100768,
62336,0279077,225130
64959,0182989,159849
65387,1307059,
65633,1294164,34696
66057,0151301,
66140,0844666,141971
66511,1213019,30508
66513,1322381,
66549,0119211,
67852,0419477,
68137,0471834,168538
68533,1359583,
68544,0079914,
69201,0230992,
69203,0358146,200796
69489,0065908,75015
69849,0075572,67479
70155,0160835,97995
70507,0819953,18440
70545,0848281,11115
70800,1141486,
70828,0395417,200039
70819,0023456,154430
72332,1517595,
72781,1104746,
72998,0499549,19995
73370,0085101,113879
73453,0431961,
73759,0495212,
74284,1230155,202855
74679,1433856,
74733,0478813,71370
75402,0133186,
75434,0195972,
76034,1385869,
76149,0138674,
76533,0977646,
77141,0050379,22649
77328,1259574,61917
77330,1260581,61919
77359,1259573,61920
77658,0081846,205300
77734,0892404,
77770,1538503,211877
77854,0384700,37106
78579,1135095,162880
78974,1594971,
78980,0036783,
79220,1205503,
79283,0139717,
79281,0135014,
79299,0874957,
79329,1259583,24487
79575,0134108,
79594,0238859,
79677,1522863,53190
79866,1474312,
80109,0064553,42495
80160,0281859,
80330,0774755,13209
80740,1433915,24219
80768,1103248,
81405,0454990,
81731,1453159,133252
81758,0466214,
81770,0118823,134569
82017,0019532,99080
82751,0495705,
83268,1792061,
83656,0274154,
83773,0213469,24403
83842,1706414,111239
84861,0986358,
84957,1274300,113885
84974,1590050,
85070,0822791,141971
85442,1189042,
85624,1801038,
85780,1701991,110639
85785,1797363,
86153,0216605,89756
86288,0199208,
86668,1347439,241620
87279,1273241,25541
87308,0780362,15533
87370,0446510,
87639,0435610,
87962,0818098,36663
88414,0118174,47116
89211,0392869,
90273,1675167,
90303,0069088,
90292,0189102,
90432,0222581,
90552,0449144,69487
90647,0448694,58423
90775,1446069,
